Mesh Number: 0
Vertex Count: 2418
Triangle Count: 806
 V188: 0.100000 -2.039812 -1.278096 
 V189: -2.039812 -1.278096 0.700000 
 V190: -1.278096 0.700000 -2.057706 
 V191: 0.700000 -2.057706 -1.337028 
 V192: -2.057706 -1.337028 0.100000 
 V193: -1.337028 0.100000 -2.057706 
 V194: 0.100000 -2.057706 -1.337028 
 V195: -2.057706 -1.337028 0.700000 
 V196: -1.337028 0.700000 -2.057706 
 V197: 0.700000 -2.057706 -1.337028 
 V198: -2.057706 -1.337028 0.700000 
 V199: -1.337028 0.700000 -2.057706 
 V200: 0.700000 -2.057706 -1.337028 
 V201: -2.057706 -1.337028 0.100000 
 V202: -1.337028 0.100000 -2.071039 
 V203: 0.100000 -2.071039 -1.390727 
 V204: -2.071039 -1.390727 0.100000 
 V205: -1.390727 0.100000 -2.057706 
 V206: 0.100000 -2.057706 -1.337028 
 V207: -2.057706 -1.337028 0.700000 
 V208: -1.337028 0.700000 -2.071039 
 V209: 0.700000 -2.071039 -1.390727 
 V210: -2.071039 -1.390727 0.100000 
 V211: -1.390727 0.100000 -2.071039 
 V212: 0.100000 -2.071039 -1.390727 
 V213: -2.071039 -1.390727 0.700000 
 V214: -1.390727 0.700000 -2.071039 
 V215: 0.700000 -2.071039 -1.390727 
 V216: -2.071039 -1.390727 0.700000 
 V217: -1.390727 0.700000 -2.071039 
 V218: 0.700000 -2.071039 -1.390727 
 V219: -2.071039 -1.390727 0.100000 
 V220: -1.390727 0.100000 -2.079947 
 V221: 0.100000 -2.079947 -1.438548 
 V222: -2.079947 -1.438548 0.100000 
 V223: -1.438548 0.100000 -2.071039 
 V224: 0.100000 -2.071039 -1.390727 
 V225: -2.071039 -1.390727 0.700000 
 V226: -1.390727 0.700000 -2.079947 
 V227: 0.700000 -2.079947 -1.438548 
 V228: -2.079947 -1.438548 0.100000 
 V229: -1.438548 0.100000 -2.079947 
 V230: 0.100000 -2.079947 -1.438548 
 V231: -2.079947 -1.438548 0.700000 
 V232: -1.438548 0.700000 -2.079947 
 V233: 0.700000 -2.079947 -1.438548 
 V234: -2.079947 -1.438548 0.700000 
 V235: -1.438548 0.700000 -2.079947 
 V236: 0.700000 -2.079947 -1.438548 
 V237: -2.079947 -1.438548 0.100000 
 V238: -1.438548 0.100000 -2.084747 
 V239: 0.100000 -2.084747 -1.480094 
 V240: -2.084747 -1.480094 0.100000 
 V241: -1.480094 0.100000 -2.079947 
 V242: 0.100000 -2.079947 -1.438548 
 V243: -2.079947 -1.438548 0.700000 
 V244: -1.438548 0.700000 -2.084747 
 V245: 0.700000 -2.084747 -1.480094 
 V246: -2.084747 -1.480094 0.100000 
 V247: -1.480094 0.100000 -2.084747 
 V248: 0.100000 -2.084747 -1.480094 
 V249: -2.084747 -1.480094 0.700000 
 V250: -1.480094 0.700000 -2.084747 
 V251: 0.700000 -2.084747 -1.480094 
 V252: -2.084747 -1.480094 0.700000 
 V253: -1.480094 0.700000 -2.084747 
 V254: 0.700000 -2.084747 -1.480094 
 V255: -2.084747 -1.480094 0.100000 
 V256: -1.480094 0.100000 -2.085797 
 V257: 0.100000 -2.085797 -1.515127 
 V258: -2.085797 -1.515127 0.100000 
 V259: -1.515127 0.100000 -2.084747 
 V260: 0.100000 -2.084747 -1.480094 
 V261: -2.084747 -1.480094 0.700000 
 V262: -1.480094 0.700000 -2.085797 
 V263: 0.700000 -2.085797 -1.515127 
 V264: -2.085797 -1.515127 0.100000 
 V265: -1.515127 0.100000 -2.085797 
 V266: 0.100000 -2.085797 -1.515127 
 V267: -2.085797 -1.515127 0.700000 
 V268: -1.515127 0.700000 -2.085797 
 V269: 0.700000 -2.085797 -1.515127 
 V270: -2.085797 -1.515127 0.700000 
 V271: -1.515127 0.700000 -2.085797 
 V272: 0.700000 -2.085797 -1.515127 
 V273: -2.085797 -1.515127 0.100000 
 V274: -1.515127 0.100000 -2.083351 
 V275: 0.100000 -2.083351 -1.543482 
 V276: -2.083351 -1.543482 0.100000 
 V277: -1.543482 0.100000 -2.085797 
 V278: 0.100000 -2.085797 -1.515127 
 V279: -2.085797 -1.515127 0.700000 
 V280: -1.515127 0.700000 -2.083351 
 V281: 0.700000 -2.083351 -1.543482 
 V282: -2.083351 -1.543482 0.100000 
 V283: -1.543482 0.100000 -2.083351 
 V284: 0.100000 -2.083351 -1.543482 
 V285: -2.083351 -1.543482 0.700000 
 V286: -1.543482 0.700000 -2.083351 
 V287: 0.700000 -2.083351 -1.543482 
 V288: -2.083351 -1.543482 0.700000 
 V289: -1.543482 0.700000 -2.083351 
 V290: 0.700000 -2.083351 -1.543482 
 V291: -2.083351 -1.543482 0.100000 
 V292: -1.543482 0.100000 -2.077380 
 V293: 0.100000 -2.077380 -1.564990 
 V294: -2.077380 -1.564990 0.100000 
 V295: -1.564990 0.100000 -2.083351 
 V296: 0.100000 -2.083351 -1.543482 
 V297: -2.083351 -1.543482 0.700000 
 V298: -1.543482 0.700000 -2.077380 
 V299: 0.700000 -2.077380 -1.564990 
 V300: -2.077380 -1.564990 0.100000 
 V301: -1.564990 0.100000 -2.077380 
 V302: 0.100000 -2.077380 -1.564990 
 V303: -2.077380 -1.564990 0.700000 
 V304: -1.564990 0.700000 -2.077380 
 V305: 0.700000 -2.077380 -1.564990 
 V306: -2.077380 -1.564990 0.700000 
 V307: -1.564990 0.700000 -2.077380 
 V308: 0.700000 -2.077380 -1.564990 
 V309: -2.077380 -1.564990 0.100000 
 V310: -1.564990 0.100000 -2.072943 
 V311: 0.100000 -2.072943 -1.573105 
 V312: -2.072943 -1.573105 0.100000 
 V313: -1.573105 0.100000 -2.077380 
 V314: 0.100000 -2.077380 -1.564990 
 V315: -2.077380 -1.564990 0.700000 
 V316: -1.564990 0.700000 -2.072943 
 V317: 0.700000 -2.072943 -1.573105 
 V318: -2.072943 -1.573105 0.100000 
 V319: -1.573105 0.100000 -2.072943 
 V320: 0.100000 -2.072943 -1.573105 
 V321: -2.072943 -1.573105 0.700000 
 V322: -1.573105 0.700000 -2.072943 
 V323: 0.700000 -2.072943 -1.573105 
 V324: -2.072943 -1.573105 0.700000 
 V325: -1.573105 0.700000 -2.072943 
 V326: 0.700000 -2.072943 -1.573105 
 V327: -2.072943 -1.573105 0.100000 
 V328: -1.573105 0.100000 -2.067405 
 V329: 0.100000 -2.067405 -1.579412 
 V330: -2.067405 -1.579412 0.100000 
 V331: -1.579412 0.100000 -2.072943 
 V332: 0.100000 -2.072943 -1.573105 
 V333: -2.072943 -1.573105 0.700000 
 V334: -1.573105 0.700000 -2.067405 
 V335: 0.700000 -2.067405 -1.579412 
 V336: -2.067405 -1.579412 0.100000 
 V337: -1.579412 0.100000 -2.067405 
 V338: 0.100000 -2.067405 -1.579412 
 V339: -2.067405 -1.579412 0.700000 
 V340: -1.579412 0.700000 -2.067405 
 V341: 0.700000 -2.067405 -1.579412 
 V342: -2.067405 -1.579412 0.700000 
 V343: -1.579412 0.700000 -2.067405 
 V344: 0.700000 -2.067405 -1.579412 
 V345: -2.067405 -1.579412 0.100000 
 V346: -1.579412 0.100000 -2.064183 
 V347: 0.100000 -2.064183 -1.581875 
 V348: -2.064183 -1.581875 0.100000 
 V349: -1.581875 0.100000 -2.067405 
 V350: 0.100000 -2.067405 -1.579412 
 V351: -2.067405 -1.579412 0.700000 
 V352: -1.579412 0.700000 -2.064183 
 V353: 0.700000 -2.064183 -1.581875 
 V354: -2.064183 -1.581875 0.100000 
 V355: -1.581875 0.100000 -2.064183 
 V356: 0.100000 -2.064183 -1.581875 
 V357: -2.064183 -1.581875 0.700000 
 V358: -1.581875 0.700000 -2.064183 
 V359: 0.700000 -2.064183 -1.581875 
 V360: -2.064183 -1.581875 0.700000 
 V361: -1.581875 0.700000 -2.064183 
 V362: 0.700000 -2.064183 -1.581875 
 V363: -2.064183 -1.581875 0.100000 
 V364: -1.581875 0.100000 -2.060635 
 V365: 0.100000 -2.060635 -1.583873 
 V366: -2.060635 -1.583873 0.100000 
 V367: -1.583873 0.100000 -2.064183 
 V368: 0.100000 -2.064183 -1.581875 
 V369: -2.064183 -1.581875 0.700000 
 V370: -1.581875 0.700000 -2.060635 
 V371: 0.700000 -2.060635 -1.583873 
 V372: -2.060635 -1.583873 0.100000 
 V373: -1.583873 0.100000 -2.060635 
 V374: 0.100000 -2.060635 -1.583873 
 V375: -2.060635 -1.583873 0.700000 
 V376: -1.583873 0.700000 -2.060635 
 V377: 0.700000 -2.060635 -1.583873 
 V378: -2.060635 -1.583873 0.700000 
 V379: -1.583873 0.700000 -2.060635 
 V380: 0.700000 -2.060635 -1.583873 
 V381: -2.060635 -1.583873 0.100000 
 V382: -1.583873 0.100000 -2.052495 
 V383: 0.100000 -2.052495 -1.586457 
 V384: -2.052495 -1.586457 0.100000 
 V385: -1.586457 0.100000 -2.060635 
 V386: 0.100000 -2.060635 -1.583873 
 V387: -2.060635 -1.583873 0.700000 
 V388: -1.583873 0.700000 -2.052495 
 V389: 0.700000 -2.052495 -1.586457 
 V390: -2.052495 -1.586457 0.100000 
 V391: -1.586457 0.100000 -2.052495 
 V392: 0.100000 -2.052495 -1.586457 
 V393: -2.052495 -1.586457 0.700000 
 V394: -1.586457 0.700000 -2.052495 
 V395: 0.700000 -2.052495 -1.586457 
 V396: -2.052495 -1.586457 0.700000 
 V397: -1.586457 0.700000 -2.052495 
 V398: 0.700000 -2.052495 -1.586457 
 V399: -2.052495 -1.586457 0.100000 
 V400: -1.586457 0.100000 -2.042846 
 V401: 0.100000 -2.042846 -1.587149 
 V402: -2.042846 -1.587149 0.100000 
 V403: -1.587149 0.100000 -2.052495 
 V404: 0.100000 -2.052495 -1.586457 
 V405: -2.052495 -1.586457 0.700000 
 V406: -1.586457 0.700000 -2.042846 
 V407: 0.700000 -2.042846 -1.587149 
 V408: -2.042846 -1.587149 0.100000 
 V409: -1.587149 0.100000 -2.042846 
 V410: 0.100000 -2.042846 -1.587149 
 V411: -2.042846 -1.587149 0.700000 
 V412: -1.587149 0.700000 -2.042846 
 V413: 0.700000 -2.042846 -1.587149 
 V414: -2.042846 -1.587149 0.700000 
 V415: -1.587149 0.700000 -2.042846 
 V416: 0.700000 -2.042846 -1.587149 
 V417: -2.042846 -1.587149 0.100000 
 V418: -1.587149 0.100000 -2.031565 
 V419: 0.100000 -2.031565 -1.585953 
 V420: -2.031565 -1.585953 0.100000 
 V421: -1.585953 0.100000 -2.042846 
 V422: 0.100000 -2.042846 -1.587149 
 V423: -2.042846 -1.587149 0.700000 
 V424: -1.587149 0.700000 -2.031565 
